ToyId,ElfId,StartTime,Duration
1209,1,2014 1 12 15 34,57,3.7194523768759087
950,1,2014 1 12 16 31,40,3.7688812187351797
2089,1,2014 1 12 17 11,29,3.8051273821485743
1112,1,2014 1 12 17 40,22,3.832856821976544
10,1,2014 1 12 18 2,16,3.8531505266738546
8,1,2014 1 12 18 18,11,3.867164742821105
121,1,2014 1 12 18 29,9,3.8786688235034115
47,1,2014 1 12 18 38,6,3.8863572168220317
194,1,2014 1 12 18 44,5,3.892775851733918
58,1,2014 1 12 18 49,3,3.8966321199919234
42,1,2014 1 12 18 52,3,3.9004922083529716
16,1,2014 1 12 18 55,2,3.9030677247417636
38,1,2014 1 12 18 57,1,3.90435612060134
200,1,2014 1 12 18 58,1,3.9056449417581462
379,1,2014 1 12 18 59,1,3.9069341883525723
1134,1,2014 1 13 9 0,56,3.9798153491198542
2853,1,2014 1 13 9 56,54,4.0
1124,1,2014 1 13 10 50,53,4.0
1463,1,2014 1 13 11 43,53,4.0
3682,1,2014 1 13 12 36,52,4.0
545,1,2014 1 13 13 28,52,4.0
2804,1,2014 1 13 14 20,52,4.0
4897,1,2014 1 13 15 12,52,4.0
3681,1,2014 1 13 16 4,42,4.0
249,1,2014 1 13 16 46,34,4.0
1625,1,2014 1 13 17 20,25,4.0
153,1,2014 1 13 17 45,19,4.0
94,1,2014 1 13 18 4,14,4.0
178,1,2014 1 13 18 18,11,4.0
290,1,2014 1 13 18 29,8,4.0
90,1,2014 1 13 18 37,6,4.0
88,1,2014 1 13 18 43,5,4.0
6,1,2014 1 13 18 48,3,4.0
144,1,2014 1 13 18 51,3,4.0
17,1,2014 1 13 18 54,2,4.0
186,1,2014 1 13 18 56,1,4.0
54,1,2014 1 13 18 57,1,4.0
210,1,2014 1 13 18 58,1,4.0
424,1,2014 1 13 18 59,1,4.0
2643,1,2014 1 14 9 0,314,4.0
3214,1,2014 1 14 14 14,51,4.0
107,1,2014 1 14 15 5,50,4.0
3306,1,2014 1 14 15 55,46,4.0
1343,1,2014 1 14 16 41,35,4.0
1998,1,2014 1 14 17 16,26,4.0
1422,1,2014 1 14 17 42,20,4.0
311,1,2014 1 14 18 2,15,4.0
450,1,2014 1 14 18 17,11,4.0
110,1,2014 1 14 18 28,8,4.0
540,1,2014 1 14 18 36,6,4.0
118,1,2014 1 14 18 42,5,4.0
19,1,2014 1 14 18 47,4,4.0
159,1,2014 1 14 18 51,3,4.0
40,1,2014 1 14 18 54,2,4.0
212,1,2014 1 14 18 56,1,4.0
77,1,2014 1 14 18 57,1,4.0
211,1,2014 1 14 18 58,1,4.0
468,1,2014 1 14 18 59,1,4.0
3277,1,2014 1 15 9 0,152,4.0
1739,1,2014 1 15 11 32,50,4.0
2609,1,2014 1 15 12 22,50,4.0
2694,1,2014 1 15 13 12,50,4.0
3072,1,2014 1 15 14 2,49,4.0
3213,1,2014 1 15 14 51,49,4.0
1276,1,2014 1 15 15 40,47,4.0
2469,1,2014 1 15 16 27,39,4.0
455,1,2014 1 15 17 6,29,4.0
652,1,2014 1 15 17 35,22,4.0
1672,1,2014 1 15 17 57,16,4.0
48,1,2014 1 15 18 13,12,4.0
233,1,2014 1 15 18 25,9,4.0
479,1,2014 1 15 18 34,7,4.0
80,1,2014 1 15 18 41,5,4.0
160,1,2014 1 15 18 46,4,4.0
101,1,2014 1 15 18 50,3,4.0
69,1,2014 1 15 18 53,2,4.0
27,1,2014 1 15 18 55,2,4.0
82,1,2014 1 15 18 57,1,4.0
221,1,2014 1 15 18 58,1,4.0
497,1,2014 1 15 18 59,1,4.0
2840,1,2014 1 16 9 0,47,4.0
2417,1,2014 1 16 9 47,47,4.0
4040,1,2014 1 16 10 34,46,4.0
4180,1,2014 1 16 11 20,45,4.0
2100,1,2014 1 16 12 5,41,4.0
4456,1,2014 1 16 12 46,41,4.0
281,1,2014 1 16 13 27,41,4.0
1208,1,2014 1 16 14 8,41,4.0
2182,1,2014 1 16 14 49,41,4.0
3059,1,2014 1 16 15 30,41,4.0
3996,1,2014 1 16 16 11,41,4.0
3465,1,2014 1 16 16 52,32,4.0
140,1,2014 1 16 17 24,24,4.0
152,1,2014 1 16 17 48,18,4.0
452,1,2014 1 16 18 6,14,4.0
736,1,2014 1 16 18 20,10,4.0
162,1,2014 1 16 18 30,8,4.0
208,1,2014 1 16 18 38,6,4.0
230,1,2014 1 16 18 44,4,4.0
59,1,2014 1 16 18 48,3,4.0
228,1,2014 1 16 18 51,3,4.0
55,1,2014 1 16 18 54,2,4.0
238,1,2014 1 16 18 56,1,4.0
95,1,2014 1 16 18 57,1,4.0
251,1,2014 1 16 18 58,1,4.0
498,1,2014 1 16 18 59,1,4.0
1451,1,2014 1 17 9 0,40,4.0
1754,1,2014 1 17 9 40,40,4.0
155,1,2014 1 17 10 20,40,4.0
106,1,2014 1 17 11 0,40,4.0
4348,1,2014 1 17 11 40,40,4.0
4791,1,2014 1 17 12 20,40,4.0
2789,1,2014 1 17 13 0,40,4.0
3668,1,2014 1 17 13 40,40,4.0
4415,1,2014 1 17 14 20,40,4.0
3319,1,2014 1 17 15 0,39,4.0
4347,1,2014 1 17 15 39,39,4.0
2839,1,2014 1 17 16 18,39,4.0
3828,1,2014 1 17 16 57,31,4.0
893,1,2014 1 17 17 28,23,4.0
603,1,2014 1 17 17 51,18,4.0
23,1,2014 1 17 18 9,13,4.0
482,1,2014 1 17 18 22,10,4.0
172,1,2014 1 17 18 32,7,4.0
135,1,2014 1 17 18 39,6,4.0
147,1,2014 1 17 18 45,4,4.0
114,1,2014 1 17 18 49,3,4.0
70,1,2014 1 17 18 52,2,4.0
56,1,2014 1 17 18 54,2,4.0
261,1,2014 1 17 18 56,1,4.0
96,1,2014 1 17 18 57,1,4.0
260,1,2014 1 17 18 58,1,4.0
521,1,2014 1 17 18 59,1,4.0
2949,1,2014 1 18 9 0,39,4.0
4179,1,2014 1 18 9 39,39,4.0
3656,1,2014 1 18 10 18,39,4.0
1207,1,2014 1 18 10 57,38,4.0
884,1,2014 1 18 11 35,38,4.0
1793,1,2014 1 18 12 13,37,4.0
2827,1,2014 1 18 12 50,37,4.0
2168,1,2014 1 18 13 27,37,4.0
4081,1,2014 1 18 14 4,37,4.0
2653,1,2014 1 18 14 41,37,4.0
4762,1,2014 1 18 15 18,36,4.0
2812,1,2014 1 18 15 54,36,4.0
4455,1,2014 1 18 16 30,36,4.0
1516,1,2014 1 18 17 6,29,4.0
1377,1,2014 1 18 17 35,22,4.0
3744,1,2014 1 18 17 57,16,4.0
179,1,2014 1 18 18 13,12,4.0
365,1,2014 1 18 18 25,9,4.0
509,1,2014 1 18 18 34,7,4.0
119,1,2014 1 18 18 41,5,4.0
169,1,2014 1 18 18 46,4,4.0
113,1,2014 1 18 18 50,3,4.0
85,1,2014 1 18 18 53,2,4.0
39,1,2014 1 18 18 55,2,4.0
111,1,2014 1 18 18 57,1,4.0
273,1,2014 1 18 18 58,1,4.0
522,1,2014 1 18 18 59,1,4.0
978,1,2014 1 19 9 0,36,4.0
3903,1,2014 1 19 9 36,36,4.0
520,1,2014 1 19 10 12,35,4.0
840,1,2014 1 19 10 47,35,4.0
1150,1,2014 1 19 11 22,35,4.0
1673,1,2014 1 19 11 57,35,4.0
1984,1,2014 1 19 12 32,35,4.0
3725,1,2014 1 19 13 7,35,4.0
2502,1,2014 1 19 13 42,35,4.0
3643,1,2014 1 19 14 17,35,4.0
154,1,2014 1 19 14 52,35,4.0
2486,1,2014 1 19 15 27,35,4.0
2501,1,2014 1 19 16 2,35,4.0
3586,1,2014 1 19 16 37,34,4.0
3263,1,2014 1 19 17 11,28,4.0
784,1,2014 1 19 17 39,21,4.0
165,1,2014 1 19 18 0,15,4.0
828,1,2014 1 19 18 15,12,4.0
348,1,2014 1 19 18 27,9,4.0
695,1,2014 1 19 18 36,6,4.0
148,1,2014 1 19 18 42,5,4.0
45,1,2014 1 19 18 47,4,4.0
262,1,2014 1 19 18 51,3,4.0
67,1,2014 1 19 18 54,2,4.0
283,1,2014 1 19 18 56,1,4.0
124,1,2014 1 19 18 57,1,4.0
274,1,2014 1 19 18 58,1,4.0
574,1,2014 1 19 18 59,1,4.0
3122,1,2014 1 20 9 0,34,4.0
4976,1,2014 1 20 9 34,34,4.0
3782,1,2014 1 20 10 8,33,4.0
394,1,2014 1 20 10 41,32,4.0
1216,1,2014 1 20 11 13,32,4.0
2935,1,2014 1 20 11 45,31,4.0
4204,1,2014 1 20 12 16,31,4.0
1864,1,2014 1 20 12 47,31,4.0
4917,1,2014 1 20 13 18,31,4.0
2350,1,2014 1 20 13 49,31,4.0
3464,1,2014 1 20 14 20,31,4.0
3642,1,2014 1 20 14 51,31,4.0
271,1,2014 1 20 15 22,30,4.0
3135,1,2014 1 20 15 52,30,4.0
4116,1,2014 1 20 16 22,30,4.0
123,1,2014 1 20 16 52,30,4.0
236,1,2014 1 20 17 22,25,4.0
378,1,2014 1 20 17 47,19,4.0
767,1,2014 1 20 18 6,14,4.0
909,1,2014 1 20 18 20,10,4.0
196,1,2014 1 20 18 30,8,4.0
218,1,2014 1 20 18 38,6,4.0
326,1,2014 1 20 18 44,4,4.0
116,1,2014 1 20 18 48,3,4.0
307,1,2014 1 20 18 51,3,4.0
68,1,2014 1 20 18 54,2,4.0
284,1,2014 1 20 18 56,1,4.0
142,1,2014 1 20 18 57,1,4.0
275,1,2014 1 20 18 58,1,4.0
625,1,2014 1 20 18 59,1,4.0
292,1,2014 1 21 9 0,30,4.0
1228,1,2014 1 21 9 30,30,4.0
4414,1,2014 1 21 10 0,30,4.0
637,1,2014 1 21 10 30,30,4.0
3485,1,2014 1 21 11 0,30,4.0
1227,1,2014 1 21 11 30,29,4.0
3041,1,2014 1 21 11 59,29,4.0
423,1,2014 1 21 12 28,29,4.0
929,1,2014 1 21 12 57,29,4.0
2652,1,2014 1 21 13 26,29,4.0
2880,1,2014 1 21 13 55,29,4.0
2592,1,2014 1 21 14 24,29,4.0
220,1,2014 1 21 14 53,28,4.0
1275,1,2014 1 21 15 21,28,4.0
1392,1,2014 1 21 15 49,28,4.0
1898,1,2014 1 21 16 17,28,4.0
4817,1,2014 1 21 16 45,28,4.0
2549,1,2014 1 21 17 13,27,4.0
1551,1,2014 1 21 17 40,20,4.0
573,1,2014 1 21 18 0,15,4.0
910,1,2014 1 21 18 15,12,4.0
602,1,2014 1 21 18 27,9,4.0
779,1,2014 1 21 18 36,6,4.0
242,1,2014 1 21 18 42,5,4.0
87,1,2014 1 21 18 47,4,4.0
373,1,2014 1 21 18 51,3,4.0
84,1,2014 1 21 18 54,2,4.0
293,1,2014 1 21 18 56,1,4.0
156,1,2014 1 21 18 57,1,4.0
282,1,2014 1 21 18 58,1,4.0
754,1,2014 1 21 18 59,1,4.0
25,1,2014 1 22 9 0,28,4.0
1805,1,2014 1 22 9 28,28,4.0
2966,1,2014 1 22 9 56,28,4.0
4062,1,2014 1 22 10 24,28,4.0
51,1,2014 1 22 10 52,27,4.0
485,1,2014 1 22 11 19,27,4.0
2965,1,2014 1 22 11 46,27,4.0
3827,1,2014 1 22 12 13,27,4.0
141,1,2014 1 22 12 40,27,4.0
2377,1,2014 1 22 13 7,27,4.0
1888,1,2014 1 22 13 34,27,4.0
2064,1,2014 1 22 14 1,27,4.0
3364,1,2014 1 22 14 28,27,4.0
4545,1,2014 1 22 14 55,27,4.0
2441,1,2014 1 22 15 22,26,4.0
2852,1,2014 1 22 15 48,26,4.0
3098,1,2014 1 22 16 14,26,4.0
4221,1,2014 1 22 16 40,26,4.0
624,1,2014 1 22 17 6,26,4.0
976,1,2014 1 22 17 32,22,4.0
270,1,2014 1 22 17 54,17,4.0
246,1,2014 1 22 18 11,13,4.0
176,1,2014 1 22 18 24,9,4.0
92,1,2014 1 22 18 33,7,4.0
46,1,2014 1 22 18 40,5,4.0
206,1,2014 1 22 18 45,4,4.0
115,1,2014 1 22 18 49,3,4.0
78,1,2014 1 22 18 52,2,4.0
109,1,2014 1 22 18 54,2,4.0
302,1,2014 1 22 18 56,1,4.0
167,1,2014 1 22 18 57,1,4.0
306,1,2014 1 22 18 58,1,4.0
769,1,2014 1 22 18 59,1,4.0
977,1,2014 1 23 9 0,26,4.0
1515,1,2014 1 23 9 26,26,4.0
1552,1,2014 1 23 9 52,26,4.0
2879,1,2014 1 23 10 18,26,4.0
3860,1,2014 1 23 10 44,26,4.0
257,1,2014 1 23 11 10,26,4.0
3614,1,2014 1 23 11 36,26,4.0
4194,1,2014 1 23 12 2,26,4.0
1253,1,2014 1 23 12 28,26,4.0
2156,1,2014 1 23 12 54,26,4.0
2993,1,2014 1 23 13 20,26,4.0
3724,1,2014 1 23 13 46,26,4.0
2404,1,2014 1 23 14 12,25,4.0
3293,1,2014 1 23 14 37,25,4.0
3305,1,2014 1 23 15 2,25,4.0
3518,1,2014 1 23 15 27,25,4.0
3745,1,2014 1 23 15 52,25,4.0
3842,1,2014 1 23 16 17,25,4.0
4615,1,2014 1 23 16 42,25,4.0
1439,1,2014 1 23 17 7,25,4.0
1045,1,2014 1 23 17 32,22,4.0
301,1,2014 1 23 17 54,17,4.0
247,1,2014 1 23 18 11,13,4.0
267,1,2014 1 23 18 24,9,4.0
102,1,2014 1 23 18 33,7,4.0
60,1,2014 1 23 18 40,5,4.0
215,1,2014 1 23 18 45,4,4.0
130,1,2014 1 23 18 49,3,4.0
86,1,2014 1 23 18 52,2,4.0
189,1,2014 1 23 18 54,2,4.0
341,1,2014 1 23 18 56,1,4.0
222,1,2014 1 23 18 57,1,4.0
313,1,2014 1 23 18 58,1,4.0
815,1,2014 1 23 18 59,1,4.0
338,1,2014 1 24 9 0,25,4.0
829,1,2014 1 24 9 25,25,4.0
2564,1,2014 1 24 9 50,25,4.0
2629,1,2014 1 24 10 15,25,4.0
4231,1,2014 1 24 10 40,25,4.0
623,1,2014 1 24 11 5,24,4.0
911,1,2014 1 24 11 29,24,4.0
1927,1,2014 1 24 11 53,24,4.0
2281,1,2014 1 24 12 17,24,4.0
3768,1,2014 1 24 12 41,24,4.0
4544,1,2014 1 24 13 5,24,4.0
2663,1,2014 1 24 13 29,24,4.0
3212,1,2014 1 24 13 53,24,4.0
139,1,2014 1 24 14 17,24,4.0
4515,1,2014 1 24 14 41,24,4.0
4896,1,2014 1 24 15 5,24,4.0
653,1,2014 1 24 15 29,24,4.0
1274,1,2014 1 24 15 53,24,4.0
2628,1,2014 1 24 16 17,24,4.0
4864,1,2014 1 24 16 41,24,4.0
2919,1,2014 1 24 17 5,23,4.0
4569,1,2014 1 24 17 28,23,4.0
1001,1,2014 1 24 17 51,18,4.0
269,1,2014 1 24 18 9,13,4.0
782,1,2014 1 24 18 22,10,4.0
390,1,2014 1 24 18 32,7,4.0
161,1,2014 1 24 18 39,6,4.0
325,1,2014 1 24 18 45,4,4.0
131,1,2014 1 24 18 49,3,4.0
143,1,2014 1 24 18 52,2,4.0
224,1,2014 1 24 18 54,2,4.0
342,1,2014 1 24 18 56,1,4.0
237,1,2014 1 24 18 57,1,4.0
314,1,2014 1 24 18 58,1,4.0
841,1,2014 1 24 18 59,1,4.0
409,1,2014 1 25 9 0,23,4.0
1149,1,2014 1 25 9 23,23,4.0
4497,1,2014 1 25 9 46,23,4.0
312,1,2014 1 25 10 9,23,4.0
1391,1,2014 1 25 10 32,23,4.0
1413,1,2014 1 25 10 55,23,4.0
2232,1,2014 1 25 11 18,23,4.0
2280,1,2014 1 25 11 41,23,4.0
3547,1,2014 1 25 12 4,23,4.0
4169,1,2014 1 25 12 27,23,4.0
4405,1,2014 1 25 12 50,23,4.0
1046,1,2014 1 25 13 13,23,4.0
1265,1,2014 1 25 13 36,23,4.0
1353,1,2014 1 25 13 59,23,4.0
3134,1,2014 1 25 14 22,23,4.0
3937,1,2014 1 25 14 45,23,4.0
4433,1,2014 1 25 15 8,23,4.0
4916,1,2014 1 25 15 31,22,4.0
1252,1,2014 1 25 15 53,22,4.0
1450,1,2014 1 25 16 15,22,4.0
2878,1,2014 1 25 16 37,22,4.0
369,1,2014 1 25 16 59,22,4.0
439,1,2014 1 25 17 21,22,4.0
180,1,2014 1 25 17 43,20,4.0
350,1,2014 1 25 18 3,15,4.0
421,1,2014 1 25 18 18,11,4.0
557,1,2014 1 25 18 29,8,4.0
136,1,2014 1 25 18 37,6,4.0
89,1,2014 1 25 18 43,5,4.0
132,1,2014 1 25 18 48,3,4.0
374,1,2014 1 25 18 51,3,4.0
239,1,2014 1 25 18 54,2,4.0
355,1,2014 1 25 18 56,1,4.0
354,1,2014 1 25 18 57,1,4.0
315,1,2014 1 25 18 58,1,4.0
856,1,2014 1 25 18 59,1,4.0
454,1,2014 1 26 9 0,22,4.0
928,1,2014 1 26 9 22,22,4.0
3995,1,2014 1 26 9 44,22,4.0
1504,1,2014 1 26 10 6,22,4.0
2349,1,2014 1 26 10 28,22,4.0
2715,1,2014 1 26 10 50,22,4.0
2750,1,2014 1 26 11 12,22,4.0
4097,1,2014 1 26 11 34,22,4.0
4756,1,2014 1 26 11 56,22,4.0
651,1,2014 1 26 12 18,21,4.0
4080,1,2014 1 26 12 39,21,4.0
4755,1,2014 1 26 13 0,21,4.0
181,1,2014 1 26 13 21,21,4.0
877,1,2014 1 26 13 42,21,4.0
1326,1,2014 1 26 14 3,21,4.0
1327,1,2014 1 26 14 24,21,4.0
1588,1,2014 1 26 14 45,21,4.0
2803,1,2014 1 26 15 6,21,4.0
2826,1,2014 1 26 15 27,21,4.0
4377,1,2014 1 26 15 48,21,4.0
4432,1,2014 1 26 16 9,21,4.0
949,1,2014 1 26 16 30,21,4.0
1206,1,2014 1 26 16 51,21,4.0
2964,1,2014 1 26 17 12,21,4.0
3058,1,2014 1 26 17 33,21,4.0
699,1,2014 1 26 17 54,17,4.0
280,1,2014 1 26 18 11,13,4.0
481,1,2014 1 26 18 24,9,4.0
389,1,2014 1 26 18 33,7,4.0
61,1,2014 1 26 18 40,5,4.0
385,1,2014 1 26 18 45,4,4.0
192,1,2014 1 26 18 49,3,4.0
227,1,2014 1 26 18 52,2,4.0
295,1,2014 1 26 18 54,2,4.0
356,1,2014 1 26 18 56,1,4.0
370,1,2014 1 26 18 57,1,4.0
316,1,2014 1 26 18 58,1,4.0
857,1,2014 1 26 18 59,1,4.0
3071,1,2014 1 27 9 0,21,4.0
4413,1,2014 1 27 9 21,21,4.0
1942,1,2014 1 27 9 42,21,4.0
2306,1,2014 1 27 10 3,21,4.0
2563,1,2014 1 27 10 24,21,4.0
3291,1,2014 1 27 10 45,21,4.0
3292,1,2014 1 27 11 6,21,4.0
4514,1,2014 1 27 11 27,21,4.0
4543,1,2014 1 27 11 48,21,4.0
2416,1,2014 1 27 12 9,20,4.0
3655,1,2014 1 27 12 29,20,4.0
3927,1,2014 1 27 12 49,20,4.0
3936,1,2014 1 27 13 9,20,4.0
2063,1,2014 1 27 13 29,20,4.0
3501,1,2014 1 27 13 49,20,4.0
4266,1,2014 1 27 14 9,20,4.0
330,1,2014 1 27 14 29,20,4.0
519,1,2014 1 27 14 49,20,4.0
544,1,2014 1 27 15 9,20,4.0
2485,1,2014 1 27 15 29,20,4.0
3695,1,2014 1 27 15 49,20,4.0
3854,1,2014 1 27 16 9,20,4.0
3994,1,2014 1 27 16 29,20,4.0
1183,1,2014 1 27 16 49,19,4.0
1514,1,2014 1 27 17 8,19,4.0
1738,1,2014 1 27 17 27,19,4.0
329,1,2014 1 27 17 46,19,4.0
1111,1,2014 1 27 18 5,14,4.0
177,1,2014 1 27 18 19,11,4.0
363,1,2014 1 27 18 30,8,4.0
244,1,2014 1 27 18 38,6,4.0
335,1,2014 1 27 18 44,4,4.0
133,1,2014 1 27 18 48,3,4.0
475,1,2014 1 27 18 51,3,4.0
319,1,2014 1 27 18 54,2,4.0
380,1,2014 1 27 18 56,1,4.0
371,1,2014 1 27 18 57,1,4.0
317,1,2014 1 27 18 58,1,4.0
863,1,2014 1 27 18 59,1,4.0
1782,1,2014 1 28 9 0,19,4.0
1997,1,2014 1 28 9 19,19,4.0
2088,1,2014 1 28 9 38,19,4.0
3446,1,2014 1 28 9 57,19,4.0
1537,1,2014 1 28 10 16,19,4.0
1603,1,2014 1 28 10 35,19,4.0
3445,1,2014 1 28 10 54,19,4.0
4096,1,2014 1 28 11 13,19,4.0
4388,1,2014 1 28 11 32,19,4.0
855,1,2014 1 28 11 51,19,4.0
1182,1,2014 1 28 12 10,19,4.0
1273,1,2014 1 28 12 29,19,4.0
1602,1,2014 1 28 12 48,19,4.0
2279,1,2014 1 28 13 7,19,4.0
2895,1,2014 1 28 13 26,19,4.0
3009,1,2014 1 28 13 45,19,4.0
3723,1,2014 1 28 14 4,19,4.0
1272,1,2014 1 28 14 23,19,4.0
2864,1,2014 1 28 14 42,19,4.0
3276,1,2014 1 28 15 1,19,4.0
3914,1,2014 1 28 15 20,19,4.0
3993,1,2014 1 28 15 39,19,4.0
4242,1,2014 1 28 15 58,19,4.0
2432,1,2014 1 28 16 17,18,4.0
3057,1,2014 1 28 16 35,18,4.0
3953,1,2014 1 28 16 53,18,4.0
